Brand  ,Country  ,Whiskies  ,Votes  ,Rating  ,WB Ranking  ,
Scotchman,Scotland,2,1,54.40,G,
Scotchwhisky.com,Scotland,1,1,87.00,C,
Scotia Royale,Scotland,5,1,80.75,D,
Scotland's Ripe Old Age,Scotland,3,,,G,
Scots Bard,Scotland,1,,,G,
Scots Earl,Scotland,2,,,G,
Scots Grey,Scotland,16,1,75.00,E,
Scots Guards,Scotland,1,,,G,
Scots Knight,Scotland,1,,,G,
Scots Label,Scotland,1,,,G,
Scots Oscar,Scotland,1,,,G,
Scots Poet,Scotland,1,,,G,
Scott & Allan,Scotland,1,,,G,
Scott & Baxter,,5,,,G,
Scott Mason,Scotland,1,,,G,
Scott's Special,Scotland,7,2,75.00,E,
Scottish Anchor,Scotland,1,,,G,
Scottish Arch-Duke,Scotland,1,,,G,
Scottish Archer,Scotland,1,,,G,
Scottish Buiterling,Germany,8,6,86.35,C,
Scottish Castle,Scotland,2,,,G,
Scottish Castles,Scotland,2,,,G,
Scottish Choice,Scotland,1,,,G,
Scottish Collie,Scotland,3,2,66.25,G,
Scottish Cousin,Scotland,1,1,80.00,D,
Scottish Cream,Scotland,2,,,G,
Scottish Crown,Scotland,2,1,77.00,E,
Scottish Dainty,Scotland,1,,,G,
Scottish Dance,Scotland,4,,,G,
Scottish Glen,Scotland,1,,,G,
Scottish Glory,Scotland,3,2,70.75,F,
Scottish Imperial,Scotland,1,,,G,
Scottish Leader,Scotland,29,16,76.89,E,
Scottish Majesty,Scotland,7,1,82.00,D,
Scottish Master,Scotland,1,,,G,
Scottish Parliament,Scotland,5,2,85.00,C,
Scottish Peer,Scotland,5,,,G,
Scottish Pride,,1,1,85.00,C,
Scottish Prince,Scotland,7,1,77.00,E,
Scottish Queen,Scotland,1,,,G,
Scottish Reel,Scotland,1,1,63.00,G,
Scottish Royal,Scotland,2,2,73.17,F,
Scottish Stag,Scotland,3,2,72.00,F,
Scottish Standard,Scotland,2,,,G,
Scotty,Scotland,1,,,G,
Scriptor,Germany,10,4,72.69,F,
Sculte,Netherlands,18,14,85.22,C,
Sea Fog,United States,3,,,G,
Sea Gull,Scotland,1,,,G,
Seacrets Distilling Company,United States,2,,,G,
Seagram's,Canada,77,38,74.75,F,
Seamróg,Ireland,2,1,82.60,D,
Sean's Bar,Ireland,2,2,82.67,D,
Seann Phortrigh,Scotland,1,,,G,
Seattle Distilling,United States,1,,,G,
Second Glance,United States,1,1,84.00,D,
Secret Bottlings Series,Scotland,22,18,84.55,D,
Secret Casks,Scotland,1,1,86.37,C,
Secret Distillery,Scotland,9,9,87.09,C,
Secret Grain,,2,1,87.57,C,
Secret Highland,Scotland,25,19,88.81,C,
Secret Highland Distillery,Scotland,14,8,87.81,C,
Secret Highland Malt,Scotland,3,3,88.53,C,
Secret Highland Single Malt,Scotland,2,1,88.00,C,
Secret Islay,Scotland,49,40,86.90,C,
Secret Islay Distillery,Scotland,5,1,87.67,C,
Secret Lowland,Scotland,2,1,83.67,D,
Secret Lowland Region Malt,Scotland,1,1,84.38,D,
Secret of Islay,Scotland,1,,,G,
Secret Orkney,Scotland,28,21,87.19,C,
Secret Orkney Distillery,Scotland,19,19,87.44,C,
Secret Orkney Malt,Scotland,4,4,85.41,C,
Secret Speyside,Scotland,41,32,87.93,C,
Secret Speyside Distillery,Scotland,49,39,88.24,C,
Secret Speyside Malt,Scotland,3,3,89.90,C,
Secret Speyside Single Malt,Scotland,1,1,88.00,C,
Secrets of Blending,Scotland,1,1,85.11,C,
Secrets of Islay,Scotland,1,1,84.78,D,
Secrets of Orkney,Scotland,2,2,85.34,C,
Seetaler Ur-Dinkel,Switzerland,8,5,83.60,D,
Selkie,Scotland,2,2,83.98,D,
Semper Fi,United States,1,,,G,
Sempione,Switzerland,2,2,78.25,E,
Senate's No. 1,Mauritius,,,,G,
Senator Corby,United States,1,1,85.00,C,
Senator's No. 1,Mauritius,,,,G,
Sennachie,Scotland,3,3,93.00,B,
Sensei,Japan,1,1,79.00,E,
Seppelbauer,Austria,3,,,G,
Séquoia,France,5,4,84.70,D,
Serendipity,Scotland,1,1,83.76,D,
Setter,United States,2,,,G,
Seute Deern,Germany,5,3,76.44,E,
Seven Brothers,United States,2,1,81.00,D,
Seven Churches,Ireland,1,,,G,
Seven Devils,United States,2,1,83.00,D,
Seven Eleven,Scotland,2,,,G,
Seven Hills,Scotland,1,,,G,
Seven Islands,Scotland,1,1,84.75,D,
Seven Oaks,United States,3,2,62.34,G,
Seven Seals,Switzerland,11,10,69.93,G,
Seven Sky,Scotland,2,,,G,
Seven Stills of San Francisco,United States,14,6,81.21,D,
Seven Three,United States,2,,,G,
Seventeen Twelve,United States,3,1,81.08,D,
Seventieth Anniversary Malt,Scotland,1,1,87.83,C,
Seventy Seven,Scotland,5,2,86.50,C,
Shady Springs,United States,1,,,G,
Shanahan's,Ireland,2,2,75.67,E,
Share & Enjoy,Scotland,1,1,86.60,C,
Shaw,Ireland,1,1,76.00,E,
Shaw's,Scotland,1,,,G,
Shays' Rebellion,United States,1,,,G,
Sheep Dip,Scotland,27,19,78.26,E,
Sheeps under Palms,Germany,1,1,87.00,C,
Sheffer Fort,United States,5,2,46.25,G,
Shefford Manor,Canada,1,1,60.67,G,
Shelter Distilling,United States,1,,,G,
Shelter Point,Canada,31,17,84.97,D,
Shenk's Homestead,United States,10,5,86.33,C,
Shenton A. L.,Canada,1,,,G,
Sherbrook,United States,1,1,90.00,B,
Sherried Single Malts,,1,,,G,
Sherry,Scotland,2,1,83.35,D,
Sherry Bomb,Germany,4,4,89.94,C,
Sherry Cask Collection,Scotland,6,6,86.25,C,
Sherry Darling,Sweden,,,,G,
Sherry Flag,,1,1,86.50,C,
Sherwood,United States,1,,,G,
Shetland,Scotland,2,,,G,
Shetland Isles,Scotland,1,,,G,
Shetland Reel,Scotland,9,5,82.43,D,
Shieldaig,Scotland,13,8,75.97,E,
Shin,Japan,2,2,74.50,F,
Shinju,Japan,1,,,G,
Shinobu,Japan,13,7,81.92,D,
Shinsei,Japan,1,,,G,
Shippen Bros.,United States,2,2,82.88,D,
Shizuoka,Japan,41,22,87.26,C,
Shooting Lodge,Scotland,3,2,65.50,G,
Shootlands,Scotland,1,1,89.00,C,
Shore Porters' Society,Scotland,1,,,G,
Short Mountain,United States,1,,,G,
Shyte Whisky,Scotland,2,1,83.00,D,
SIA,Scotland,1,1,71.00,F,
Sian Ìle,Scotland,1,1,86.50,C,
Siar-Port,Scotland,1,1,80.75,D,
Sierra Norte,Mexico,8,,,G,
Signal Hill,Canada,2,2,77.90,E,
Signature,India,4,1,65.75,G,
Sikkim,India,6,4,61.52,G,
Sild,Germany,8,8,84.15,D,
Silent Swede,Sweden,6,5,85.16,C,
Silent Third Kyoto,Japan,1,1,89.50,C,
Silk City,United States,3,1,89.00,C,
Silk Tassel,Canada,4,1,83.00,D,
Silkie,Ireland,9,8,77.49,E,
Silver Barley,Scotland,1,1,72.00,F,
Silver Coyote,United States,1,1,81.00,D,
Silver Pitcher,United States,1,,,G,
Silver Seal,Scotland,19,16,78.16,E,
Silver Star,United States,1,,,G,
Silver Wedding,Scotland,3,,,G,
Silverhorn,United States,1,,,G,
Silverstone,Scotland,1,1,74.00,F,
Simon Brothers,Scotland,1,,,G,
Simon's,Germany,12,6,71.45,F,
Simple Sample,Germany,14,12,87.46,C,
Simply Whisky,Ireland,1,1,86.00,C,
Simpson's,Scotland,3,3,81.67,D,
Sin-Gold,Germany,28,20,79.92,E,
Single Barrel Kentucky Straight Bourbon,United States,1,1,83.33,D,
Single Barrel Light Whiskey,United States,4,2,80.50,D,
Single Barrel Rye Whiskey,United States,1,1,82.00,D,
Single Batch Nation,United States,1,1,88.00,C,
Single Cask Islay Malt,Scotland,1,1,88.50,C,
Single Cask Nation,United States,1,,,G,
Single Cask Single Island Malt,Scotland,1,1,86.22,C,
Single Cask Single Islay Malt,Scotland,4,2,81.50,D,
Single Cask Whisky,,16,4,83.50,D,
Single Grain Scotch Whisky,Scotland,4,4,85.13,C,
Single Highland Malt,Scotland,3,1,86.25,C,
Single Highland Malt Scotch Whisky,Scotland,1,,,G,
Single Highland Malt Whisky,Scotland,2,,,G,
Single Irish Malt,Germany,8,2,78.00,E,
Single Island Malt,Scotland,8,5,86.11,C,
Single Islay Malt,Scotland,26,14,84.47,D,
Single Islay Malt Scotch Whisky,Scotland,6,3,81.63,D,
Single Islay Malt Whisky,Scotland,1,,,G,
Single Lowland Grain,Scotland,2,2,88.06,C,
Single Lowland Malt,Scotland,5,2,80.75,D,
Single Malt,,8,4,83.75,D,
Single Malt Clerach,,1,,,G,
Single Malt Irish Whiskey,Ireland,58,49,87.36,C,
Single Malt Scotch Whisky,Scotland,61,24,83.51,D,
Single Malt Speyside Scotch Whisky,Scotland,1,1,73.00,F,
Single Malt Whisky,,25,13,80.46,D,
Single Speyside,Scotland,4,2,87.50,C,
Single Speyside Malt,Scotland,14,4,86.46,C,
Single Speyside Malt Scotch Whisky,Scotland,5,4,86.72,C,
Single Speyside Malt Whisky,Scotland,2,1,87.12,C,
Single-single,Scotland,15,9,87.77,C,
SingleOne,Germany,1,1,82.00,D,
Sinnesfreuden,Austria,1,,,G,
Sintez Group & Co,Scotland,1,,,G,
Siobhán,Ireland,1,1,90.17,B,
Sipes',United States,1,,,G,
Sir,Scotland,1,,,G,
Sir Connery,Scotland,1,1,60.75,G,
Sir Edward's,Scotland,14,7,60.12,G,
Sir Frederic,Scotland,2,,,G,
Sir Griffin Pitterson,Scotland,1,,,G,
Sir Harald,Scotland,1,,,G,
Sir Harold Forsyte,Scotland,1,,,G,
Sir Henry's,Scotland,1,1,84.00,D,
Sir James,Scotland,1,,,G,
Sir James Douglas,Scotland,1,,,G,
Sir No. 1,Scotland,2,1,8.00,G,
Sir Pitterson,Scotland,4,1,30.00,G,
Sir Walter Raleigh,Scotland,9,1,63.43,G,
Sir William,Scotland,4,,,G,
Sirius,Scotland,1,1,88.55,C,
Six & Twenty,United States,4,,,G,
Skaalvenn,United States,1,,,G,
Skagit Moon,United States,,,,G,
Skånska Spritfabriken,Sweden,5,4,79.75,E,
Skara Brae,Scotland,6,4,85.62,C,
Skara Brae,Scotland,1,1,83.00,D,
Skeabost,Scotland,2,1,93.00,B,
Skeleton Key,Scotland,1,1,83.86,D,
Skeppets,Sweden,1,,,G,
Skerridhu,Scotland,1,1,84.00,D,
Skibbereen Eagle,Ireland,8,6,83.44,D,
Skinner's Highlander,Scotland,2,1,81.00,D,
Skip Rock,United States,1,,,G,
Skipper,Scotland,3,,,G,
Skot'Tiche,Belgium,1,1,61.33,G,
Skotlantilaista Whiskyä,Scotland,1,,,G,
Skrewball,United States,1,1,62.50,G,
SKScott,Scotland,1,,,G,
Skye,Scotland,2,2,90.50,B,
Slaintheva,Scotland,13,6,82.60,D,
Slam Dram,Scotland,1,,,G,
Slane,Ireland,6,6,81.35,D,
Slane Castle,Ireland,2,2,74.75,F,
Slater & Scott,Scotland,4,,,G,
Slaughter House,United States,1,1,85.33,C,
Sleipnir,France,1,1,75.00,E,
Slieve Foy,Ireland,3,1,85.00,C,
Slitisian,Germany,8,7,68.38,G,
Slochmor,Scotland,2,2,89.25,C,
Sloupisti,Germany,14,12,72.92,F,
Slow Hand,United States,4,1,75.00,E,
Slyrs,Germany,173,126,78.67,E,
Small Brook,Luxembourg,6,5,85.30,C,
SmallestWhiskyBarOnEarth,Switzerland,30,13,79.34,E,
Smith's,Scotland,1,1,82.50,D,
Smith's Angaston Whisky,Australia,12,4,82.42,D,
Smo'key,Scotland,2,,,G,
Smögen,Sweden,82,59,86.23,C,
Smoke Bomb,Scotland,1,1,85.75,C,
Smoke Oddity,,2,1,88.00,C,
Smoke Wagon,United States,12,7,86.10,C,
Smoked!,Scotland,1,1,82.00,D,
Smokehead,Scotland,54,50,83.91,D,
Smokestack,Scotland,2,1,81.97,D,
Smokey Joe,Scotland,5,3,79.43,E,
Smokin',Scotland,2,1,77.85,E,
Smokin' Islay Malt,Scotland,1,1,87.27,C,
Smoking Buffalo,Scotland,8,8,86.50,C,
Smoking Islay,Scotland,73,58,84.97,D,
Smoking Mill,Scotland,1,1,89.33,C,
Smoky Dragon,Scotland,1,1,86.91,C,
Smoky Goat,Scotland,1,1,72.88,F,
Smoky Highlands,Scotland,1,1,87.50,C,
Smoky Ice Storm,Germany,1,1,92.00,B,
Smoky Scot,Scotland,1,1,83.86,D,
Smoky Voice,Scotland,1,1,87.17,C,
Smooth Ambler,United States,233,61,84.27,D,
Smooth Gentleman,Scotland,4,3,80.03,D,
SMU,Scotland,1,1,88.50,C,
Smuggler Company,United States,1,1,85.00,C,
Smuggler's Vintage Cask,Scotland,1,1,90.33,B,
Smugglers' Notch,United States,4,,,G,
Snake River,United States,1,1,34.67,G,
Society of Bourbon Connoisseurs,United States,7,2,83.00,D,
Society of Scotch Malt Connoisseurs,Scotland,4,,,G,
Solan,India,1,,,G,
Solo,Scotland,1,,,G,
Somerset,Scotland,1,,,G,
Something Special,Scotland,29,17,81.78,D,
Somewhere from the Speyside,Scotland,1,1,81.00,D,
Somewhere in Ireland,Ireland,2,2,88.70,C,
Somewhere in Speyside,Scotland,5,4,87.01,C,
Somewhere in the Speyside Region,Scotland,1,1,89.05,C,
Somnium,,1,1,86.50,C,
Son of a Gun,United Kingdom,2,1,85.00,C,
Son of a Peat,Scotland,5,4,87.40,C,
Sonnenbräu,Switzerland,11,7,78.74,E,
Sonnenscheiner,Germany,4,4,71.02,F,
Sonoma Brothers,United States,1,1,60.00,G,
Sonoma County,United States,28,20,82.73,D,
Sons of Erin,Ireland,2,,,G,
Sons of Liberty,United States,9,4,77.94,E,
Sons of Scotland,Scotland,4,2,82.00,D,
Soul Brothers,United States,2,,,G,
Sound of Iona,Scotland,2,2,74.00,F,
Sound of Islay,Scotland,7,7,86.92,C,
South Boston,United States,1,1,70.00,F,
South Island,New Zealand,9,6,83.26,D,
South Islay Jewel,Scotland,1,1,88.45,C,
South Islay Single Malt,Scotland,5,5,85.13,C,
South of Islay,Scotland,2,2,84.65,D,
South Shore,Scotland,3,3,84.73,D,
South Shore Islay Malt,Scotland,1,1,84.32,D,
Southern Artisan Spirits,United States,2,,,G,
Southern Blend,United States,1,,,G,
Southern Coast Distillers,Australia,12,2,83.50,D,
Southern Grain Spirits,New Zealand,2,1,72.67,F,
Southern Islay Single Malt Scotch Whisky,Scotland,1,1,81.00,D,
Southern Star,United States,6,,,G,
Southern Tier,United States,7,,,G,
Southshore,Scotland,2,2,87.10,C,
Southshot,United States,2,,,G,
Southtyrolean,Italy,1,1,100.00,A,
Souvenir,Scotland,2,,,G,
Spade & Bushel,Ireland,8,6,85.33,C,
Spalding's,Scotland,4,,,G,
Spanish Whisky Club,Spain,,,,G,
Speakeasy,United States,2,,,G,
Speakeasy Select,United States,1,,,G,
Speaker Hoyle's,Scotland,2,,,G,
Special Irish,Ireland,1,,,G,
Special Islay Malt,Scotland,9,9,83.88,D,
Special Malt,Scotland,3,,,G,
Special Regent,Scotland,1,,,G,
Special Regis,Scotland,,,,G,
Special Reserve,Scotland,5,5,51.00,G,
Special Speyside Malt,Scotland,1,1,85.92,C,
Special Vatting,Scotland,11,10,84.16,D,
Speireag,Scotland,1,1,87.00,C,
Spencer Club,Scotland,2,1,77.50,E,
Sperbers,Germany,8,1,76.50,E,
SPEY,Scotland,76,53,82.80,D,
Spey Cast,Scotland,3,2,75.50,E,
Spey River,Scotland,5,1,77.00,E,
Spey Royal,Scotland,9,3,83.42,D,
Spey Vintage,Scotland,3,,,G,
Speybridge,Scotland,6,5,86.24,C,
Speyburn,Scotland,265,225,83.66,D,
Speymhor,Scotland,8,5,74.39,F,
Speyside,Scotland,142,97,85.32,C,
Speyside Aingeal,Scotland,1,1,86.16,C,
Speyside Blended Malt,Scotland,3,3,87.48,C,
Speyside Blended Malt Scotch Whisky,Scotland,11,6,85.78,C,
Speyside Cigar Malt Whisky,Scotland,,,,G,
Speyside Cooperage,Scotland,3,3,76.78,E,
Speyside Distilled,Scotland,1,,,G,
Speyside distilled in Ballindalloch,Scotland,2,1,93.00,B,
Speyside Distillery,Scotland,262,197,85.05,C,
Speyside Finest,Scotland,6,6,87.57,C,
Speyside Glenlivet Region,Scotland,1,1,87.70,C,
Speyside Hero,Scotland,4,4,88.15,C,
Speyside Jewel,Scotland,1,1,83.67,D,
Speyside King,Scotland,1,1,85.25,C,
Speyside Malt,Scotland,17,11,89.27,C,
Speyside Mysteria,Scotland,4,4,87.70,C,
Speyside Region,Scotland,115,102,89.13,C,
Speyside Region Malt,Scotland,14,12,88.90,C,
Speyside Region Selection,Scotland,5,5,87.86,C,
Speyside Reserve,Scotland,3,2,82.69,D,
Speyside Secret,Scotland,4,3,88.19,C,
Speyside Single Malt,Scotland,18,16,84.60,D,
Speyside Single Malt Scotch Whisky,Scotland,38,24,86.14,C,
Speyside Single Malt Whisky,Scotland,2,2,88.17,C,
Speyside's Finest Distillery,Scotland,4,3,91.20,B,
Speysider,Scotland,1,1,88.00,C,
Spezialitätenbrauerei Eckart,Germany,5,,,G,
Spica,Scotland,3,3,87.04,C,
Spice King,Scotland,13,10,81.38,D,
Spice Tree,Scotland,17,17,84.74,D,
Spillers Bonio,Scotland,1,,,G,
Spinnaker,Germany,16,12,73.28,F,
Spirale,Scotland,5,5,90.04,B,
Spirit Collection,Scotland,6,2,74.50,F,
Spirit Hound,United States,7,2,83.00,D,
Spirit of Aarhus,Denmark,1,1,75.67,E,
Spirit of Boston,United States,2,1,60.00,G,
Spirit of Dublin,Ireland,4,4,56.88,G,
Spirit of Freedom,Scotland,4,4,81.57,D,
Spirit of Memories,,1,1,87.50,C,
Spirit of Mensa,Scotland,3,1,88.00,C,
Spirit of Munro,New Zealand,1,1,84.00,D,
Spirit of Robyn Hoode,Scotland,4,,,G,
Spirit of Speyside Whisky Festival,Scotland,13,7,79.47,E,
Spirit Of The Bear,United Kingdom,4,,,G,
Spirit of TOAD,United Kingdom,4,1,89.00,C,
Spirit of Unity,Scotland,1,1,83.25,D,
Spirit of Waiatanwa,United States,1,1,86.67,C,
Spirit of York,Canada,1,1,85.00,C,
Spirit of Yorkshire Distillery,United Kingdom,11,9,85.25,C,
Spirit Thief,New Zealand,1,1,70.00,F,
Spirit Works,United States,8,,,G,
Spirits of French Lick,United States,2,,,G,
Spirits of Gettysburg Distillery,United States,1,,,G,
Spirits of the Apocalypse,,2,2,84.95,D,
Spiritz of the Isles,Scotland,2,1,84.75,D,
Split Rock,United States,1,1,81.33,D,
Spoon Man,Scotland,1,1,87.00,C,
Sporting,Portugal,,,,G,
Spring 44,United States,2,,,G,
Spring Bay,Australia,9,2,84.00,D,
Spring Hill,United States,1,1,87.00,C,
Spring Mill,United States,1,,,G,
Spring River,United States,3,,,G,
Spring Valley,United States,1,,,G,
Springavulin,Scotland,1,1,85.00,C,
Springbank,Scotland,3399,2170,88.75,C,
Spyniemor,Scotland,2,2,90.17,B,
Square One,United States,1,,,G,
Squires,Scotland,1,,,G,
St-Feuillien,Belgium,1,1,80.00,D,
St. Andrews,Scotland,2,2,86.04,C,
St. Augustine,United States,6,2,77.50,E,
St. Beccan's Dram,Ireland,1,1,89.59,C,
St. Declan’s Well,Ireland,1,1,90.74,B,
St. Drostan's,Scotland,3,3,83.78,D,
St. Edmund Hall,Scotland,1,,,G,
St. George,Philippines,1,,,G,
St. George (RU),Russian Federation,1,1,82.00,D,
St. George Spirits,United States,24,13,76.20,E,
St. Georges's,Romania,1,,,G,
St. James Regal,Scotland,1,1,83.00,D,
St. James' Blend,Scotland,1,1,82.00,D,
St. James's,Scotland,7,3,87.33,C,
St. Kilian,Germany,164,118,82.82,D,
St. Laurent,Canada,1,,,G,
St. Leger,Scotland,5,1,82.00,D,
St. Magdalene,Scotland,139,116,89.35,C,
St. Mirren F.C.,Scotland,1,,,G,
St. Moritzer,Switzerland,7,4,82.75,D,
St. Ola,Scotland,1,1,86.00,C,
St. Patrick's,Ireland,8,4,81.32,D,
St. Patrick's Prayer,Ireland,1,1,89.79,C,
Stadler,Germany,1,,,G,
Stage Coach,United States,1,,,G,
Stagg Jr.,United States,17,17,87.79,C,
Stairway to Orkney,Scotland,1,1,87.40,C,
Stalk & Barrel,Canada,31,20,78.10,E,
Stammheimer,Switzerland,9,2,78.70,E,
Stand Up,Scotland,1,,,G,
Standard Wormwood,United States,3,,,G,
Staoisha,Scotland,21,15,84.96,D,
Stark Spirits,United States,5,,,G,
Starkenberg,Austria,5,2,74.96,F,
Starlaw,Scotland,1,,,G,
Starlight Distillery,United States,14,2,89.50,C,
Starrag Clach,Switzerland,1,,,G,
Stars & Stripes,United States,7,2,76.00,E,
Starward,Australia,47,30,84.12,D,
State Department,United States,1,,,G,
Statesman,Scotland,10,7,62.58,G,
Staufer,Germany,1,,,G,
Stauning,Denmark,155,123,81.95,D,
Stave + Barrel,United States,1,,,G,
Steaming in the Highlands,Scotland,,,,G,
Steel Bonnets,United Kingdom,3,3,81.66,D,
Stefan Meier Hausmarke,Germany,4,1,89.00,C,
Steiger Whisky,Germany,1,1,73.00,F,
Stein,United States,7,2,73.50,F,
Steirischer Whisky,Austria,1,1,73.00,F,
Stephen Foster,United States,1,,,G,
Sterling,Scotland,1,,,G,
Sterling Reserve,India,,,,G,
Stevenson's,Scotland,1,,,G,
Stewart,United States,1,,,G,
Stewart's,Scotland,9,1,69.00,G,
Stewarts,Scotland,2,,,G,
Stewarts Cream of the Barley,Scotland,19,10,83.28,D,
Stewarts Dundee,United Kingdom,18,11,85.05,C,
Still Austin,United States,4,1,80.00,D,
Still Waters,Scotland,1,,,G,
Stillbrook,United States,11,6,78.76,E,
Stillhouse,United States,4,2,58.88,G,
Stillman's,Scotland,1,1,76.33,E,
StilltheOne,United States,5,2,84.50,D,
Stillwrights,United States,1,1,80.00,D,
Stinghers,Scotland,1,,,G,
Stirling Castle,Scotland,1,1,83.25,D,
Stitzel-Weller,United States,1,,,G,
Stoaninger,Austria,1,1,77.50,E,
Stock Plzeň,Czech Republic,2,,,G,
Stockholm,,1,1,74.00,F,
Stodart's,Scotland,1,,,G,
Stöfflbräu,Austria,2,1,75.00,E,
Stokerij de Molenberg,Belgium,10,10,85.78,C,
Stokerij De Onrust,Netherlands,4,3,66.56,G,
Stolen,United States,1,1,86.14,C,
Stolen Youth,United Kingdom,1,,,G,
Stone Barn,United States,4,1,84.00,D,
Stone Breaker,United States,1,,,G,
Stone Castle,United States,1,,,G,
Stone Circle,Scotland,3,2,86.00,C,
Stone of Manhood,Scotland,1,,,G,
StoneHammer,United States,1,,,G,
Stones of Stenness,Scotland,1,1,86.00,C,
Stonewall,United States,1,1,61.00,G,
Stonewall Malts,Germany,3,3,87.63,C,
Stonewood,Germany,34,23,64.66,G,
Stopgap Jones,United States,2,,,G,
Stork Club,Germany,32,24,78.75,E,
Storm,Scotland,2,2,79.83,E,
Störtebeker,Germany,7,6,70.79,F,
Straight Bourbon Whiskey,United States,10,8,88.77,C,
Straight Corn Whiskey,United States,1,1,85.00,C,
Straight Edge,United States,1,1,82.75,D,
Straight from the Cask,Scotland,3,3,86.78,C,
Straight Rye Whiskey,United States,3,3,84.92,D,
Stranahan's,United States,48,22,85.77,C,
Stranger & Stranger,Scotland,2,2,86.54,C,
Strangford,Ireland,2,1,72.00,F,
Strath Eagle,Scotland,,,,G,
Strathaird,Scotland,1,1,46.00,G,
Strathayr,Scotland,3,1,78.75,E,
Strathbeag,Scotland,1,1,80.00,D,
Strathblair,Scotland,2,,,G,
Strathclyde,Scotland,208,153,86.05,C,
Strathcolm,Scotland,7,3,77.30,E,
Strathconon,Scotland,9,7,83.72,D,
Strathdearn,Scotland,2,1,88.00,C,
Strathdon,Scotland,2,,,G,
Strathearn,Scotland,63,34,83.04,D,
Stratheden,Scotland,14,12,80.84,D,
Strathfillan,Scotland,3,,,G,
Strathgarry,Scotland,1,,,G,
Strathglen,Scotland,5,1,86.00,C,
Strathisla,Scotland,628,494,87.70,C,
Strathmill,Scotland,475,342,84.50,D,
Strathmore,Scotland,5,2,87.49,C,
Strathspey,Scotland,3,2,81.84,D,
Straw Boys,Ireland,1,,,G,
Stronachie,Scotland,27,22,81.41,D,
Strong's,Scotland,1,,,G,
STRT,Scotland,1,,,G,
Stryker,United States,1,,,G,
Stuart,Scotland,1,,,G,
Stuart's,Scotland,6,,,G,
Stuart's,United States,2,,,G,
Studio Distilling,United States,4,,,G,
Subtle Spirits,United States,,,,G,
Sugarbush,United States,3,,,G,
Sugarlands,United Arab Emirates,3,2,76.50,E,
Sullivans Cove,Australia,177,94,85.77,C,
Sulm Valley,Austria,1,1,90.00,B,
Sulmgau Whisky,Germany,1,1,87.00,C,
Summit,Scotland,1,,,G,
Sun Shine,Japan,8,4,84.84,D,
Sunken Still,Belgium,2,2,74.69,F,
Sunny Brook,United States,3,,,G,
Sunny Farm,Scotland,1,,,G,
Sunshine,United States,5,,,G,
Suntory,Japan,368,170,84.02,D,
Supreme,Scotland,1,1,87.33,C,
Supreme Master Blend,Scotland,1,1,87.50,C,
Surselva Bräu,Switzerland,5,1,66.25,G,
Susquehanna,United States,2,,,G,
Svea Oak,Sweden,1,,,G,
Swabbie Whiskey,United States,2,,,G,
Sweden Rock,Scotland,2,2,72.14,F,
Sweet Josie,Scotland,1,1,87.78,C,
Sweetens Cove,United States,1,,,G,
Swhisky,Switzerland,11,7,61.29,G,
Swift,United States,2,,,G,
Swing of Scotland,Germany,1,1,88.00,C,
Swiss Mountain,Switzerland,3,1,90.00,B,
Swiss Single Malt Whisky,Switzerland,4,2,85.93,C,
Swiss Stone Eagle,Switzerland,1,1,82.33,D,
Swissky,Switzerland,9,4,77.71,E,
Sŵn y Don,United Kingdom,3,,,G,
Swn Y Mor,United Kingdom,8,1,45.00,G,
Sword's,Scotland,2,,,G,
Sword's Gauntlet,Scotland,1,,,G,
Sylter Brandung,Germany,1,,,G,
Sylter Ellenbogen,Germany,,,,G,
Sylter Offshore,Germany,1,1,72.71,F,
Sylter Tide Whisky,Germany,4,2,33.89,G,
Sylter Watt,Germany,5,2,76.09,E,
Symphony,Scotland,1,1,84.40,D,
Syndicate 58/6,Scotland,3,3,80.19,D,
Syntax,United States,2,,,G,
T-spooned Malt Whisky,Scotland,1,1,84.67,D,
T-Spooned Speyside Blended Malt Whisky,Scotland,1,1,71.00,F,
T.J. Pottinger,United States,6,,,G,
T.W. Samuels,United States,3,,,G,
Tacoma,United States,1,1,79.00,E,
Taconic Distillery,United States,9,1,79.00,E,
Tahoe Moonshine,United States,1,,,G,
Tahwahkaro,United States,5,2,84.17,D,
Taisteal,Hong Kong,4,1,78.00,E,
Taiwan Golf,,1,,,G,
Taketsuru,Japan,79,62,86.73,C,
Talamh Sgeir,Scotland,1,1,88.50,C,
Talimburg,Scotland,2,1,86.83,C,
Talisker,Scotland,832,723,86.43,C,
Talisman,Scotland,2,1,77.00,E,
Tall Ships Race,Scotland,1,,,G,
Tally Ho,United States,1,,,G,
Talon's Select,Scotland,1,,,G,
Tam O' Shanter,Scotland,1,,,G,
Tam's Dram,Scotland,1,,,G,
Tambowie,Scotland,2,1,78.67,E,
Tamdhu,Scotland,573,421,85.47,C,
Tamifroyg,Scotland,1,1,89.50,C,
Tamm & Rukis,Estonia,1,,,G,
Tammer,Germany,1,1,84.00,D,
Tammie,Scotland,1,1,82.00,D,
Tamnavulin,Scotland,239,178,85.10,C,
Tanargue,France,1,,,G,
Tangle Ridge,Canada,1,1,73.25,F,
Tanner's Curse,United States,2,,,G,
Tanners,Scotland,3,,,G,
Tantallan,Scotland,10,5,81.97,D,
Tantallon Castle,Scotland,1,,,G,
Taos Lightning,United States,4,1,87.00,C,
TAP,Canada,3,2,71.60,F,
